open_date,open_price,expiry_date,expiry_price,strike_price_call,delta_call,premium_call,option_loss_call,percentage_profit_loss_call,vault_total_profit_loss_call,vault_apy_call,strike_price_put,delta_put,premium_put,option_loss_put,percentage_profit_loss_put,vault_total_profit_loss_put,vault_apy_put,days_to_end_date
2020-01-03,126.73,2020-01-17,164.12,150.0,0.0986605733813013,0.0055230226865642055,0.08603460882281261,-0.0805115861362484,-0.27239385152662077,-0.128377692725421,100.0,0.9199915047887526,0.8918744464303252,0.0,0.007037595253139155,0.22439954523913963,0.10683364815039265,728
2020-01-17,164.12,2020-01-31,184.56,210.0,0.10221727941807685,0.00818978776150453,0.0,0.00818978776150453,-0.20868372292378312,-0.10173870709250066,130.0,0.913959479440068,1.2813827397401187,0.0,0.007807596513161825,0.2158429347728188,0.10506989017746604,714
2020-01-31,184.56,2020-02-14,268.31,230.0,0.12092071230166901,0.009694392571539024,0.1427826022138571,-0.13308820964231807,-0.21511179077385267,-0.1069329686130378,150.0,0.927155088624074,0.9564648253551251,0.0,0.00518240585909799,0.20642366556813285,0.1027989634810742,700
2020-02-14,268.31,2020-02-28,227.7,310.0,0.27321462885088954,0.03105823751149895,0.0,0.03105823751149895,-0.09461583294154097,-0.049276593932134904,210.0,0.9057596176968414,2.6013321714290747,0.0,0.009695248672912209,0.20020372276317389,0.10196852290065461,686
2020-02-28,227.7,2020-03-13,108.95,300.0,0.11940473064053309,0.011522876660329315,0.0,0.011522876660329315,-0.12188843062479171,-0.06446258465581933,180.0,0.9006608689592375,2.3073791192431017,71.05,-0.30189995995062324,0.18867918249655613,0.09842833105989035,672
2020-03-13,108.95,2020-03-27,138.97,180.0,0.0916232832647545,0.012541541195306356,0.0,0.012541541195306356,-0.1318915373674937,-0.07113974640615495,70.0,0.9029621924623932,2.3990947294587155,0.0,0.022020144373186924,0.7027347289830843,0.3434448322429351,658
2020-03-27,138.97,2020-04-10,169.73,190.0,0.10714236525320281,0.010802295763756032,0.0,0.010802295763756032,-0.14264410168524733,-0.07850513730910391,100.0,0.9025961961415094,2.057718496053523,0.0,0.01480692592684409,0.666048109088285,0.3355061344452084,644
2020-04-10,169.73,2020-04-24,185.56,240.0,0.11152635465919841,0.012514943766171002,0.0,0.012514943766171002,-0.15180653832316415,-0.08532838588447267,130.0,0.8969317972801317,2.1411783243124702,0.0,0.01261520252349302,0.6417390013047548,0.3327223652057496,630
2020-04-24,185.56,2020-05-08,212.32,240.0,0.10112192010669513,0.008357874071145927,0.0,0.008357874071145927,-0.16229042652755532,-0.09320360970507857,140.0,0.9065702736685877,2.0961359292448662,0.0,0.011296270366700077,0.6212861481967187,0.3315229902409249,616
2020-05-08,212.32,2020-05-22,198.6,280.0,0.10685322090528071,0.009696844856321501,0.0,0.009696844856321501,-0.1692338652642491,-0.09943471230196654,190.0,0.7678938854406689,5.391032657178059,0.0,0.02539107317811821,0.6031762359895134,0.3313206294979223,602
2020-05-22,198.6,2020-06-05,243.24,250.0,0.07962360359479742,0.005260312099537122,0.0,0.005260312099537122,-0.1772123098453695,-0.1065804502666583,160.0,0.882369469872118,2.4831387955779753,0.0,0.01250321649334328,0.5634778553519058,0.3197209592772159,588
2020-06-05,243.24,2020-06-19,231.01,300.0,0.11673906617058305,0.008779902274386533,0.0,0.008779902274386533,-0.18151778176122757,-0.1118953903263411,200.0,0.9072192989015542,1.7676106869971555,0.0,0.007266940827977123,0.5441707541105727,0.318223914584449,574
2020-06-19,231.01,2020-07-03,226.45,270.0,0.11875647431174907,0.006935220863628885,0.0,0.006935220863628885,-0.18864143070908712,-0.11922417134330998,190.0,0.9164975818906541,1.4019106219939133,0.0,0.006068614440906945,0.5330303135346208,0.3211110443746963,560
2020-07-03,226.45,2020-07-17,233.43,260.0,0.09125295467373601,0.00407041043715844,0.0,0.00407041043715844,-0.19422962621664408,-0.1259862325861143,200.0,0.8942377731460014,1.2435251017317057,0.0,0.005491389276801527,0.5237830616419321,0.32520719506314255,546
2020-07-17,233.43,2020-07-31,335.25,270.0,0.12104772148763737,0.006722926912326807,0.19463087248322147,-0.18790794557089466,-0.19749614627869094,-0.1316265069367193,200.0,0.899374564517688,1.4959771772520547,0.0,0.006408675736846398,0.5154610749455646,0.33005626397791343,532
2020-07-31,335.25,2020-08-14,425.3,460.0,0.061843615897412565,0.004814593277578857,0.0,0.004814593277578857,-0.011806790443894544,-0.008305023682442458,280.0,0.9006211463136167,2.4962901999171123,0.0,0.007446055779021961,0.5058108216684571,0.3343290352246344,518
2020-08-14,425.3,2020-08-28,383.56,560.0,0.11230408417904059,0.010434764150181896,0.0,0.010434764150181896,-0.016541741961824785,-0.011952498805418266,340.0,0.9049926862944353,3.759918263593896,0.0,0.008840626060648709,0.4946813410312747,0.3378555166073933,504
2020-08-28,383.56,2020-09-11,367.94,460.0,0.10724237744479909,0.006746805331911755,0.0,0.006746805331911755,-0.02669791961749668,-0.019820248177045974,300.0,0.9327996236679699,2.1156470747413536,0.0,0.005515817798366236,0.48158321782475455,0.3402119507481878,490
2020-09-11,367.94,2020-09-25,348.92,480.0,0.08808771766019075,0.006959483302665537,0.0,0.006959483302665537,-0.03322059208162376,-0.02537642594439804,280.0,0.8911896515196287,5.289504637028436,0.0,0.014375997817656238,0.4734559035269721,0.3461146570053484,476
2020-09-25,348.92,2020-10-09,351.19,420.0,0.1051109985582222,0.006653017465127396,0.0,0.006653017465127396,-0.03990237546847952,-0.031394630527109335,290.0,0.880867067672925,3.7164084314183654,0.0,0.010651176290892942,0.4525737070839484,0.3430623669391746,462
2020-10-09,351.19,2020-10-23,414.53,410.0,0.10534841520456512,0.005672932167052313,0.010928038983909422,-0.005255106816857109,-0.046247706136955835,-0.03752094687674279,290.0,0.9160047343116364,2.1028338337822525,0.0,0.005987738357533678,0.4372651426725873,0.3438486840926498,448
2020-10-23,414.53,2020-11-06,417.08,510.0,0.10353831646557671,0.007174858208741192,0.0,0.007174858208741192,-0.041209157846414546,-0.034545707302225725,350.0,0.9091389796274558,2.466778220163846,0.0,0.005950783345388382,0.4287103986169809,0.3499267988067256,434
2020-11-06,417.08,2020-11-20,471.65,520.0,0.10019789934682316,0.007200211587838725,0.0,0.007200211587838725,-0.04803934059792414,-0.041619476607022365,340.0,0.8975338981986729,3.789125323945278,0.0,0.009084888568009203,0.4202587465220351,0.35648373036609016,420
2020-11-20,471.65,2020-12-04,616.54,590.0,0.09871049982900904,0.0071280106700078415,0.04304667985856549,-0.03591866918855764,-0.05484465903623892,-0.04917228959119346,380.0,0.9178453087542042,3.1214872930021755,0.0,0.006618228120432897,0.4074720200572246,0.35972019206221795,406
2020-12-04,616.54,2020-12-18,643.59,760.0,0.18412074301868453,0.019064047920187063,0.0,0.019064047920187063,-0.01963111331255829,-0.018266697981895064,510.0,0.8954810522599748,5.325655709463419,0.0,0.00863797273406984,0.3982182924357227,0.3663064907197451,392
2020-12-18,643.59,2021-01-01,737.28,880.0,0.10139291722169563,0.009922318137367778,0.0,0.009922318137367778,-0.03797127502605768,-0.03664175164904404,510.0,0.8899259454148057,7.764510180709891,0.0,0.012064373561910363,0.3862439549500951,0.3707605010483921,378
2021-01-01,737.28,2021-01-15,1231.5,1000.0,0.10952440567314808,0.010938585177550666,0.18798213560698335,-0.17704355042943268,-0.0474230466079385,-0.04755637969205617,580.0,0.9117000742302052,6.225508882053148,0.0,0.008443886830041705,0.3697191514323124,0.37090351340029115,364
2021-01-15,1231.5,2021-01-29,1332.2,2560.0,0.09118643252938674,0.016574517247107956,0.0,0.016574517247107956,0.15750590919985163,0.16478465455131497,840.0,0.9039607519320194,21.670659786904395,0.0,0.01759696288014973,0.3582502401178802,0.37619166872788634,350
2021-01-29,1332.2,2021-02-12,1788.3,2320.0,0.09010665525622807,0.013231703501582166,0.0,0.013231703501582166,0.1386336068450622,0.1514642900861829,960.0,0.8813559112935123,28.775943989188704,0.0,0.02160031826241458,0.33476247440201123,0.36844562952006443,336
2021-02-12,1788.3,2021-02-26,1481.2,3200.0,0.018824489240245556,0.0016596631742003436,0.0,0.0016596631742003436,0.12376429094165631,0.14141195375052473,1360.0,0.8767994904913187,32.83229685454563,0.0,0.01835950168011275,0.30654077777915845,0.35403557031356025,322
2021-02-26,1481.2,2021-03-12,1827.4,2080.0,0.10455047940524181,0.011138785233535925,0.0,0.011138785233535925,0.1219023109910542,0.14604051022619746,1120.0,0.8600868385197465,36.47698222265794,0.0,0.02462664206228594,0.2829857978676462,0.3435378888134668,308
2021-03-12,1827.4,2021-03-26,1586.1,5000.0,0.013608195985175115,0.0017507049664237328,0.0,0.0017507049664237328,0.10954334595318271,0.13774899798501816,1680.0,0.6946936762948309,82.8393211569504,93.90000000000009,-0.006052686244418127,0.2521495588728364,0.32202554259854166,294
2021-03-26,1586.1,2021-04-09,2080.7,2000.0,0.09609641012733516,0.007051777291774715,0.03878502427067805,-0.03173324697890333,0.1076042576784324,0.1425060749053857,1200.0,0.9151217239346473,14.959225211817994,0.0,0.00943145149222495,0.25977457913905866,0.3512598768540607,280
